feature,importance_mean,importance_std
country_leader_mentions,0.05172413793103446,0.011684253396150883
uncertainty_markers,0.0222222222222222,0.006479515143788414
us_vs_them_ratio,0.014367816091953988,0.010777458374739628
quotation_balance,0.009578544061302662,0.00918741671132704
sensational_headline,0.008812260536398442,0.005565455573308021
loaded_lexicon_density,0.0015325670498083977,0.00921931755978234
